acc,val_acc,test_acc
0.31400925931224116,0.3673333339691162,0.0022
0.3982083334128062,0.45062500031789143,0.0045
0.4587592593299018,0.4875416661898295,0.0071
0.48319444442678383,0.49329166746139524,0.0055
0.4942268519224944,0.5045416673024495,0.009
0.5046666667196485,0.4977916669845581,0.0082
0.5105509260142291,0.5198333333333334,0.0113
0.5200648148324755,0.5273749999205272,0.0135
0.5279074074427287,0.5386666668256124,0.0145
0.5383055555555556,0.545625,0.0153
0.5423009259612472,0.541708334128062,0.0155
0.5511851852205064,0.5442083333333333,0.0134
0.5561666667019879,0.5358333344459534,0.0172
0.5597407408820259,0.5609583336512248,0.0212
0.5673703703703704,0.571958335240682,0.0266
0.568523148254112,0.56025,0.0218
0.5814537038273282,0.5641666674613952,0.0219
0.5835185185538397,0.5779166669845581,0.0246
0.5880787036330611,0.5924166668256123,0.0411
0.592296296260975,0.6011250019073486,0.0433
0.5971805556615194,0.5992083346048991,0.0398
0.6041203703173884,0.611125,0.0461
0.6089907407407408,0.6026250003178915,0.0476
0.6160879629276417,0.6169999998410542,0.0537
0.6220416667902912,0.6211250007947285,0.0595
0.6294861111817537,0.637,0.0709
0.6361111111464324,0.6418333330154419,0.0786
0.6480370370546976,0.6507083330154418,0.0962
0.657819444462105,0.653625,0.1084
0.667453703739025,0.6550416674613952,0.1123
0.6808796296649509,0.6361250006357829,0.0963
0.6953564814991421,0.6940416665077209,0.1714
0.7176111112170749,0.7206666665077209,0.2081
0.7401666667196486,0.7459583328564962,0.2751
0.7572361111817536,0.7727083333333333,0.3265
0.7881064816404272,0.7838333338101705,0.34
0.8020416668785942,0.8184166663487752,0.4284
0.8317546296472903,0.8463749993642171,0.504
0.8450000000706426,0.8290416673024495,0.435
0.8646296296472903,0.8685416673024495,0.5764
0.8749212964022601,0.8805000012715658,0.6004
0.8917037038096676,0.880666667620341,0.5955
0.9009259259259259,0.8694583336512248,0.546
0.9134444444267839,0.9172916674613952,0.7061
0.9175555555908769,0.9231250009536743,0.7282
0.9268564815168028,0.9232083330154419,0.7293
0.9333009259965684,0.9345833342870077,0.7615
0.938287037231304,0.9401249993642171,0.7836
0.947412037037037,0.9329166669845581,0.7589
0.944634259223938,0.9435000006357829,0.8042
0.9572083333863153,0.9499583325386047,0.8154
0.9576805555908768,0.947791666507721,0.8188
0.9612175925925925,0.9515000006357829,0.8229
0.9617129629982842,0.9667916669845581,0.8795
0.9639675925219501,0.9634583349227905,0.8579
0.969055555732162,0.9577916669845581,0.8449
0.9703611112523962,0.97175000111262,0.8859
0.9758750001059638,0.9745833338101705,0.9003
0.969037037090019,0.9653750006357829,0.8637
0.9783194445680689,0.9363749996821086,0.7923
0.9760648148148148,0.9769583333333334,0.9063
0.9812962962433144,0.9737083336512248,0.8993
0.97955555567918,0.9464166679382324,0.8171
0.9802083333863152,0.9842083336512247,0.933
0.9853333334039759,0.9790416663487752,0.9156
0.9766342592415986,0.98175,0.9341
0.9869490741800379,0.9663750012715657,0.8623
0.9865000000353212,0.9805416668256124,0.9195
0.9861944444621051,0.9853333333333333,0.9413
0.9773472221692403,0.991125,0.9585
0.9910277777954384,0.9858333342870077,0.945
0.9834166666666667,0.9870833339691162,0.9418
0.9929259258552834,0.9886666676203409,0.9541
0.9910648147971541,0.9775000004768372,0.9126
0.9843518518165306,0.9899166661898295,0.9558
0.993888888835907,0.9852916669845581,0.9388
0.9837129628746598,0.9916666660308838,0.963
0.9923842593475625,0.9879583331743876,0.9493
0.9938750000353213,0.9913333336512248,0.9658
0.9825555555732162,0.9916250003178915,0.9599
0.9950462962433144,0.9939583326975504,0.9715
0.9955092592769199,0.992416666507721,0.9693
0.9798749999823394,0.9638750007947285,0.8695
0.9938842592769199,0.9945833325386048,0.978
0.9963564814814815,0.9943333342870077,0.9736
0.9960324073191043,0.9835000006357829,0.9326
0.9877916667019879,0.9903333339691162,0.9602
0.9948703704056916,0.991416666507721,0.9627
0.9931620371076796,0.9837500006357829,0.9372
0.9888425925042894,0.9959999993642171,0.979
0.9973888889065495,0.9961250003178914,0.982
0.9912824073367649,0.9817916668256124,0.9245
0.9936805555555556,0.9950833331743876,0.9749
0.9978796296296296,0.9957916660308838,0.9814
0.9824907406347769,0.9944583326975505,0.9755
0.9980277777777777,0.996958333492279,0.9833
0.9980092592592592,0.9958333330154419,0.9815
0.9858657406347769,0.9950833336512248,0.9789
0.9980092591709561,0.9974166668256124,0.9877
0.9982592592592593,0.9974166671435039,0.9857
